"nombre_archivo";"codigo_departamento";"departamento";"codigo_municipio";"municipio";"nombre_ips";"proyeccion_tiempo";"consultas_procedimientos";"servicios_habilitados";"frecuencia_edad";"cups";"frecuencia_indicada";"periodo";"frecuencia_uso";"frecuencia_ajustada";"meta"
"117053_18664_NT-MAMA_DOMINGA-SILVIA_FINAL_OK_.xlsx";"19";"CAUCA";"743";"SILVIA";"CABILDO DE GUAMBIA HOSPITAL MAMA DOMINGA";"10";"Atencion en salud por medicina General - Primera Infancia";"1";"1 Mes";"890201";"1.0";"ANUAL";"0.8";"0.6";"0.7"
"117053_18664_NT-MAMA_DOMINGA-SILVIA_FINAL_OK_.xlsx";"19";"CAUCA";"743";"SILVIA";"CABILDO DE GUAMBIA HOSPITAL MAMA DOMINGA";"10";"Atención por profesional de enfermería, medicina general o nutrición para la promoción y apoyo de la lactancia materna *";"1";"1 Mes";"890201";"1.0";"ANUAL";"0.8";"0.6";"0.7"
"117053_18664_NT-MAMA_DOMINGA-SILVIA_FINAL_OK_.xlsx";"19";"CAUCA";"743";"SILVIA";"CABILDO DE GUAMBIA HOSPITAL MAMA DOMINGA";"10";"Atencion en salud por profesional de enfermeria -Primera Infancia";"1";"2 a 3 Meses";"890205";"1.0";"ANUAL";"0.8";"0.6";"0.7"
"117053_18664_NT-MAMA_DOMINGA-SILVIA_FINAL_OK_.xlsx";"19";"CAUCA";"743";"SILVIA";"CABILDO DE GUAMBIA HOSPITAL MAMA DOMINGA";"10";"Atencion en salud por medicina General - Primera Infancia";"1";"4 a 5 Meses";"890201";"1.0";"ANUAL";"0.8";"0.6";"0.7"
"117053_18664_NT-MAMA_DOMINGA-SILVIA_FINAL_OK_.xlsx";"19";"CAUCA";"743";"SILVIA";"CABILDO DE GUAMBIA HOSPITAL MAMA DOMINGA";"10";"Atencion en salud por profesional de enfermeria -Primera Infancia";"1";"6 a 8 Meses";"890205";"1.0";"ANUAL";"0.8";"0.6";"0.7"
"117053_18664_NT-MAMA_DOMINGA-SILVIA_FINAL_OK_.xlsx";"19";"CAUCA";"743";"SILVIA";"CABILDO DE GUAMBIA HOSPITAL MAMA DOMINGA";"10";"Atencion en salud por profesional de enfermeria -Primera Infancia";"1";"9 a 11 Meses";"890205";"1.0";"ANUAL";"0.8";"0.6";"0.7"
"117053_18664_NT-MAMA_DOMINGA-SILVIA_FINAL_OK_.xlsx";"19";"CAUCA";"743";"SILVIA";"CABILDO DE GUAMBIA HOSPITAL MAMA DOMINGA";"10";"Atencion en salud por medicina General - Primera Infancia";"1";"12 a 17 Meses";"890201";"1.0";"ANUAL";"0.8";"0.6";"0.7"
"117053_18664_NT-MAMA_DOMINGA-SILVIA_FINAL_OK_.xlsx";"19";"CAUCA";"743";"SILVIA";"CABILDO DE GUAMBIA HOSPITAL MAMA DOMINGA";"10";"Atencion en salud por profesional de enfermeria -Primera Infancia";"1";"18 a 23 Meses";"890205";"1.0";"ANUAL";"0.8";"0.6";"0.7"
"117053_18664_NT-MAMA_DOMINGA-SILVIA_FINAL_OK_.xlsx";"19";"CAUCA";"743";"SILVIA";"CABILDO DE GUAMBIA HOSPITAL MAMA DOMINGA";"10";"Atencion en salud por medicina General - Primera Infancia";"1";"24 a 29 Meses";"890201";"1.0";"ANUAL";"0.8";"0.6";"0.7"
"117053_18664_NT-MAMA_DOMINGA-SILVIA_FINAL_OK_.xlsx";"19";"CAUCA";"743";"SILVIA";"CABILDO DE GUAMBIA HOSPITAL MAMA DOMINGA";"10";"Atencion en salud por profesional de enfermeria -Primera Infancia";"1";"30 a 35 Meses";"890205";"1.0";"ANUAL";"0.8";"0.6";"0.7"
"117053_18664_NT-MAMA_DOMINGA-SILVIA_FINAL_OK_.xlsx";"19";"CAUCA";"743";"SILVIA";"CABILDO DE GUAMBIA HOSPITAL MAMA DOMINGA";"10";"Atencion en salud por medicina General - Primera Infancia";"1";"3  Años";"890201";"1.0";"ANUAL";"0.8";"0.6";"0.7"
"117053_18664_NT-MAMA_DOMINGA-SILVIA_FINAL_OK_.xlsx";"19";"CAUCA";"743";"SILVIA";"CABILDO DE GUAMBIA HOSPITAL MAMA DOMINGA";"10";"Atencion en salud por profesional de enfermeria -Primera Infancia";"1";"4 Años";"890205";"1.0";"ANUAL";"0.8";"0.6";"0.7"
"117053_18664_NT-MAMA_DOMINGA-SILVIA_FINAL_OK_.xlsx";"19";"CAUCA";"743";"SILVIA";"CABILDO DE GUAMBIA HOSPITAL MAMA DOMINGA";"10";"Atencion en salud por medicina General - Primera Infancia";"1";"5 Años";"890201";"1.0";"ANUAL";"0.8";"0.6";"0.7"
"117053_18664_NT-MAMA_DOMINGA-SILVIA_FINAL_OK_.xlsx";"19";"CAUCA";"743";"SILVIA";"CABILDO DE GUAMBIA HOSPITAL MAMA DOMINGA";"10";"Atención en salud bucal por profesional de odontología -Primera Infancia";"1";"6 Meses a 5 Años";"890203";"1.0";"ANUAL";"0.8";"0.6";"0.7"
"117053_18664_NT-MAMA_DOMINGA-SILVIA_FINAL_OK_.xlsx";"19";"CAUCA";"743";"SILVIA";"CABILDO DE GUAMBIA HOSPITAL MAMA DOMINGA";"10";"Suplementacion con Micronutrientes (Vitamina A con 200. UI) -Primera Infancia";"1";"2 a 5 Años";"B05BA10";"1.0";"SEMESTRAL";"1.7";"1.2";"0.7"
"117053_18664_NT-MAMA_DOMINGA-SILVIA_FINAL_OK_.xlsx";"19";"CAUCA";"743";"SILVIA";"CABILDO DE GUAMBIA HOSPITAL MAMA DOMINGA";"10";"Suplementacion con Micronutrientes (Sulfato ferroso Jarabe 120 ML) -Primera Infancia";"1";"2 a 5 Años";"B03AA07";"1.0";"SEMESTRAL";"1.7";"1.2";"0.7"
"117053_18664_NT-MAMA_DOMINGA-SILVIA_FINAL_OK_.xlsx";"19";"CAUCA";"743";"SILVIA";"CABILDO DE GUAMBIA HOSPITAL MAMA DOMINGA";"10";"Aplicación de Barniz de Flúor  - Primera Infancia";"1";"1 a 5 Años";"997106";"1.0";"SEMESTRAL";"1.7";"1.2";"0.7"
"117053_18664_NT-MAMA_DOMINGA-SILVIA_FINAL_OK_.xlsx";"19";"CAUCA";"743";"SILVIA";"CABILDO DE GUAMBIA HOSPITAL MAMA DOMINGA";"10";"Aplicación de Sellantes  -Primera Infancia";"1";"3 a 5 Años";"997107";"1.0";"ANUAL";"0.8";"0.6";"0.7"
"117053_18664_NT-MAMA_DOMINGA-SILVIA_FINAL_OK_.xlsx";"19";"CAUCA";"743";"SILVIA";"CABILDO DE GUAMBIA HOSPITAL MAMA DOMINGA";"10";"Profilaxis y Remoción de Placa  Bacterina -Primera Infancia";"1";"1 a 5 Años";"997002";"1.0";"SEMESTRAL";"1.7";"1.2";"0.7"
"117053_18664_NT-MAMA_DOMINGA-SILVIA_FINAL_OK_.xlsx";"19";"CAUCA";"743";"SILVIA";"CABILDO DE GUAMBIA HOSPITAL MAMA DOMINGA";"10";"Fortificación casera con micronutrientes en polvo";"1";"6 a 8 Meses";"B05BA10";"1.0";"ANUAL";"0.8";"0.6";"0.7"
"117053_18664_NT-MAMA_DOMINGA-SILVIA_FINAL_OK_.xlsx";"19";"CAUCA";"743";"SILVIA";"CABILDO DE GUAMBIA HOSPITAL MAMA DOMINGA";"10";"Fortificación casera con micronutrientes en polvo";"1";"12 a 17 Meses";"B05BA10";"1.0";"ANUAL";"0.8";"0.6";"0.7"
"117053_18664_NT-MAMA_DOMINGA-SILVIA_FINAL_OK_.xlsx";"19";"CAUCA";"743";"SILVIA";"CABILDO DE GUAMBIA HOSPITAL MAMA DOMINGA";"10";"Fortificación casera con micronutrientes en polvo";"1";"18 a 24 Meses";"B05BA10";"1.0";"ANUAL";"0.8";"0.6";"0.7"
